iter	Passed	Remaining
203	265	1034
204	265	1030
205	266	1025
206	266	1021
207	267	1017
208	267	1013
209	268	1009
210	268	1005
211	269	1001
212	270	998
213	270	994
214	271	991
215	272	988
216	272	984
217	273	980
218	273	976
219	274	973
220	275	969
221	275	965
222	276	962
223	276	958
224	277	955
225	277	952
226	278	948
227	279	945
228	279	941
229	280	938
230	280	934
231	281	931
232	282	928
233	282	925
234	283	921
235	283	919
236	284	916
237	285	913
238	285	909
239	286	907
240	287	904
241	287	901
242	288	898
243	289	895
244	289	893
245	290	890
246	291	887
247	291	884
248	292	881
249	292	878
250	293	875
251	293	872
252	294	869
253	295	866
254	295	863
255	296	860
256	296	858
257	297	855
258	298	853
259	298	850
260	299	847
261	300	845
262	300	842
263	301	839
264	301	837
265	302	834
266	303	832
267	303	829
268	304	827
269	305	824
270	305	822
271	306	819
272	306	817
273	307	814
274	308	812
275	308	809
276	309	807
277	309	804
278	310	801
279	310	799
280	311	797
281	312	795
282	312	792
283	313	790
284	314	787
285	314	785
286	315	782
287	315	780
288	316	778
289	317	776
290	317	773
291	318	771
292	318	769
293	319	766
294	319	764
295	320	762
296	321	760
297	321	757
298	322	755
299	322	753
300	323	751
301	324	748
302	324	746
303	325	744
304	325	742
305	326	740
306	327	738
307	327	736
308	328	734
309	329	732
310	329	730
311	330	728
312	330	726
313	331	724
314	332	722
315	332	720
316	333	718
317	333	716
318	334	713
319	335	711
320	335	709
321	336	707
322	336	705
323	337	703
324	337	701
325	338	699
326	339	698
327	339	696
328	340	694
329	340	692
330	341	690
331	342	688
332	342	686
333	343	684
334	343	682
335	344	680
336	345	678
337	345	677
338	346	675
339	346	673
340	347	671
341	348	669
342	348	667
343	349	665
344	349	664
345	350	662
346	351	660
347	351	658
348	352	656
349	352	655
350	353	653
351	353	651
352	354	649
353	355	647
354	355	646
355	356	644
356	356	642
357	357	640
358	357	639
359	358	637
360	359	635
361	359	634
362	360	632
363	361	631
364	361	629
365	362	627
366	362	625
367	363	624
368	364	622
369	364	620
370	365	619
371	365	617
372	366	616
373	367	614
374	368	613
375	368	612
376	369	611
377	370	610
378	371	609
379	373	608
380	374	607
381	375	606
382	376	605
383	377	604
384	377	603
385	378	602
386	379	601
387	380	599
388	380	598
389	381	597
390	382	595
391	383	594
392	384	593
393	384	591
394	385	590
395	386	589
396	386	587
397	387	586
398	388	585
399	389	583
400	390	582
401	390	581
402	391	580
403	392	578
404	393	577
405	394	576
406	394	575
407	395	574
408	396	572
409	397	571
410	397	570
411	398	568
412	399	567
413	400	566
414	400	565
415	401	563
416	402	562
417	402	561
418	403	559
419	404	558
420	405	557
421	405	555
422	406	554
423	407	553
424	408	552
425	408	551
426	409	549
427	410	548
428	410	547
429	411	545
430	412	544
431	413	543
432	413	541
433	414	540
434	415	539
435	415	538
436	416	536
437	417	535
438	418	534
439	418	532
440	419	531
441	420	530
442	420	529
443	421	528
444	422	526
445	423	525
446	423	524
447	424	522
448	425	521
449	425	520
450	426	519
451	427	518
452	427	516
453	428	515
454	429	514
455	430	513
456	430	511
457	431	510
458	432	509
459	432	508
460	433	506
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	500
467	439	499
468	439	497
469	440	496
470	441	495
471	441	494
472	442	493
473	443	491
474	443	490
475	444	489
476	445	488
477	445	486
478	446	485
479	447	484
480	447	483
481	448	482
482	449	481
483	450	480
484	451	478
485	451	477
486	452	476
487	453	475
488	453	474
489	454	473
490	455	472
491	456	471
492	457	470
493	457	468
494	458	467
495	459	466
